zouave zuavog
dexterity lertecog
dew rosog
devour manĝegig
devoid religiag
devotee religiulog
devotion sindonog
devoted sindonag
devoid senenhavag
devious malrektag
devine divenig
devil diablog
device devizog
deviation malrektiĝog
deviate malrektiĝig
development vastigog
develope vastigig
devastate dezertigi
detrimental malhelpag
detriment malprofito
detract kalumniig
detonation eksplodbruog
dethrone detronig
detest malamig
determined decidag
determination decidecog
determine decidig
deteriorate difektig
deter malhelpig
detect eltrovig
detain malhelpi
detail detalog
detach apartigig
destruction detruog
destroy detruig
destitute malriĉegag
destiny sortog
dessert desertog
despotism tiranecog
despot tiranog
despond malesperig
despise malestimig
despicable malnoblag
desperate furiozag
despatch ekspedig
despair malesperig
desolate ruinigig
desk skribtablog
desist ĉesi
desire dezirig
designing ruzag
designate montri
deserve meritig
deserter forkurintog
desert forlasig
desecration malpiegaĵog
describe priskribig
descendant ido
descend malsuprenirig
derivation devenigadog
derive devenig
deride moki
derange malordigig
derail elreliĝig
deputy deputatog
depute deputig
depth profundo—aĵog
deprivation senigog
depress mallevetig
depredation rabadog
depreciate maltaksigig
depravity malvirtog
deprave malvirtigig
depot tenejog
deposit enmetig
depose eksiĝi
deportment kondutog
depopulated senhomag
depopulate senhomigig
deponent atestantog
deplore bedaŭregig
depict priskribig
dependence dependecog
depend dependig
departure forirog
department fako
depart foririg
deny neig
denunciation denunco—adog
denude senkovrigig
dentist dentistog
dental dentag
density densecog
dense densag
denounce denuncig
denote montrig
deniable neigeblag
denial neog
demure modestag
demur ŝanceliĝig
demonstrative montrag
demonstrate pruvig
demoniac demoniakog
demon demonog
demolish detruegig
democracy demokratarog
democrat demokratog
demise mortog
demesne bieno—aĵog
demeanour kondutog
demean humilig
demand postulog
demagogue demagogog
delusion trompog
deluge superakvegog
delude trompig
dell valetog
delirium delirog
delinquent kulpulog
delightful rava
delicate delikatag
delicacy frandaĵog
deliberation prikonsiliĝog
deliberate prikonsiliĝig
delegation delegaciog
delegate delegitog
delegate delegig
delay prokrastog
dejection malĝojecog
deject senkuraĝig
deity diaĵog
deist diistog
deism diismog
deign bonvolig
degree gradog
degrade degradig
degenerate degenerig
defy kontraŭstarig
defunct mortintog
defray elpagig
defraud trompig
deformed malbelformag
deform malbonformigig
definitive definitivag
definite difinitag
define difinig
deficiency deficitog
deference respektegog
defer prokrastig
defend defendig
defect difekto—aĵog
defeat venkig
defame kalumniig
deface forigi
deer cervog
deep profundag
deem pensig
deed farog
deduction deprenog
deduct deprenig
deduce deprenig
dedication dediĉog
dedicate dediĉig
decree dekretog
decrease malkreskig
decoy kaptilog
decoy trompi
decorous bonmorag
decorum dececog
decorator ornamistog
decorate ornamig
decompose dismetig
declivity deklivog
decline ekfiniĝog
declension deklinaciog
declare sciigi
declaration deklaraciog
declaim deklamig
decisive decidigag
decipher deĉifrig
decimal decimalog
decided decidag
decide decidig
deception trompog
decent decag
december decembrog
deceive trompig
deceit artifiko—ecog
decaying kadukag
decay kadukecog
decapitate senkapigig
decanter karafog
decant transverŝig
decalogue dekalogog
decadence kadukecog
debut komencog
debtor ŝuldantog
debt ŝuldog
debris rubo—aĵog
debit debitog
debility malfortecog
debauch diboĉog
debauch diboĉigig
debate disputog
debase malnobligig
debar eksigig
deathless senmortag
death mortog
dearth senecog
dear karag
dean fakultestrog
dealer komercistog
deafness surdecog
deafmute surdamutulog
deafen surdigig
deaf surdag
deadhouse mortintejog
deadly pereigag
deacon diakonog
dazzle blindigig
daze duonesvenigig
daydream revog
daybook taglibrog
daybreak tagiĝog
day tagog
dawn tagiĝog
dauntless sentimag
daunt timigig
daughter-in-law bofilinog
daughter filinog
daubing fuŝo—adog
daub fuŝig
dative dativog
date datig
dart sago
darning flikadog
darn flikig
darling karegulog
darkness mallumecog
darken mallumigig
dark mallumag
daring kuraĝa
dare kuraĝig
dangle pendetig
danger danĝerog
dandelion leontodog
dane danog
dandy dandog
dandle luletig
dance dancig
damsel fraŭlinog
damp malsekag
damn kondamnig
dame sinjorino
damask damaskog
damage difektaĵog
damage difektig
dam akvoŝtopilo
dam bestopatrinog
dally malfruig
dale valetog
daisy lekantog
dairy laktovendejog
dainty frandemag
dainty frandaĵog
daily ĉiutage
dahlia daliog
dagger ponardog
daffodil narcisog
dab batetog
czar carog
cypress cipresog
cymbal cimbalog
cylinder cilindrog
cyclone ciklonog
cycle ciklog
cutlet kotletog
cutlass tranĉilegog
cute ruzag
cutaneous haŭtag
customer klientog
customary kutimag
custom kutimog
custard flanaĵog
cushion kusenog
curve kurbecog
curve kurbigig
curtain kurtenog
curtail mallongigig
curt mallongag
curse malbenig
currier ledpretigistog
current fluog
currant ribog
curl buklog
curiosity kuriozaĵog
curb haltigig
curator kuratoro
curate vikarog
curacy paroĥog
curable kuraceblag
cupola kupolog
cupidity avidecog
cupboard ŝrankog
cup tasog
cunning ruzag
cunning ruzog
culture kulturog
cultivate kulturig
culprit kulpulog
culpable kulpag
cullender kribrilog
cull kolektig
cuirass kirasog
cuff manumog
cudgel bastonegog
cucumber kukumog
cuckoo kukolog
cube kubog
crystallise kristaligig
crystal kristalog
crypt subteraĵog
crutch lambastonog
crustaceous kankrogentag
crust krustog
crush premegig
crupper postaĵog
crumple ĉifig
crumble elfalig
cruiser krozŝipog
cruise krozig
cruet oleujog
cruelty kruelo—ecog
cruel kruelag
crude krudag
crucify krucumig
crucifixion krucumog
crucifix krucifiksog
crown kronig
crown kronog
crowd amasog
crow-bar levilog
crow blekig
crow kornikog
croup krupog
crossing krucigog
cross-out strekig
cross-over transirig
cross krucigig
cross krucog
crooked hoka
crocodile krokodilog
crockery fajencog
croak blekig
criticism kritikog
critic kritikistog
crisp frizag
crisis krizog
crippled kriplag
cripple kriplulog
cripple kripligig
crimson ruĝegag
criminally kriminaleg
criminal krimulog
crime krimog
crew maristarog
crevice fendo—aĵog
crest tufog
creole kreolog
creep rampig
creed kredog
credulity kredemog
creditor kreditorog
credit kreditog
credible kredeblag
credence kredog
creature estaĵog
creator kreintog
creation kreitaĵog
create kreig
cream kremog
crazy frenezag
crayon krajonog
crawl rampig
crave petegig
cravat kravatog
crater kraterog
crape krepog
crane ŝarĝlevilog
cram plenegigig
crafty ruzag
craft ruzog
cradle lulilog
crackle kraketig
crab kankrog
cozen trompig
coyness rezervecog
coy rezervag
coxcomb dandog
cowslip verprimolog
cowl kapuĉog
cowherd bovgardistog
cowardice malkuraĝecog
coward malkuraĝulog
cow bovinog
covey kovitarog
covetousness avidecog
covet avidig
cover kovrilog
cover kovrig
covenant interkonsentog
covenant kondiĉig
courtier kortegulog
courtesy ĝentilecog
courteous ĝentilag
court amindumig
courier kurierog
courage kuraĝog
couplet strofog
couple kunigig
couple parog
county graflandog
country-seat somerloĝog
country-house kampodomog
countryman kamparanog
country landog
counting-house kontorog
counterpart kontraŭpartog
counterpane litkovrilog
counterfeit falsaĵog
counterfeit falsig
counterfeit imitig
counter-bass kontrabasog
counteract malhelpig
countenance vizaĝog
count kalkulig
counsellor konsilantog
counsel konsilog
counsel advokatog
counsel konsilig
cough tusig
couch kuŝejog
cottage dometog
cot litetog
cosy komfortag
costume kostumog
costly multekostag
costiveness mallaksog
cost kostog
cosmography kosmografiog
cosmopolite kosmopolitag
cossack kozakog
cortege sekvantarog
corset korsetog
corse malvivulog
corsair korsarog
corsage korsaĵog
corruption putrog
corrupt putrigig
corrode mordetig
corridor koridorog
correspondence korespondadog
correspond korespondig
correctness korektecog
correction korektog
correct korektag
corpulent vastkorpag
corpse malvivulog
corporation korporaciog
corporal korpag
corporal korporalog
coronation kronadog
corolla kronetog
cornice kornicog
corner angulog
corned salitag
corn grenog
corkscrew korktirilog
cork ŝtopig
cork korkog
co-religionist samreligianog
core internaĵog
cordial korag
cordage ŝnuraĵog
cord ŝnurog
coral koralog
coquette koketulinog
coquetry koketecog
coquet koketig
copyist skribistog
copybook kajerog
copy ekzemplerog
copy kopiig
copse arbetarog
copious plena
copier kopiistog
copeck kopekog
co-operation kunhelpo—adog
cooper barelistog
coop kaĝigig
coop kaĝegog
coolness malvarmetog
cool malvarmetag
cool malvarmetigig
cookery kuiradog
cook kuirig
convulsion kunvulsiog
convulse konvulsiig
convoy veturilarog
convolvulus konvolvulog
convolution konvolvado—aĵog
convocation kunvokog
convince konvinkig
conviction kondamnog
convict kondamnatog
conveyance veturilog
convey alportig
convex malkavetag
conversely maleg
converse malag
converse interparoladig
conversation konversaciog
converge konvergig
conventional kutimag
convent monaĥinejog
convenient oportunag
convenience oportunecog
convene kunvokig
convalescence resaniĝog
contuse kontuzig
contumely malestimog
contumacy obstinecog
contumacious obstinemag
controversy disputadog
control kontrolig
contrive elpensig
contrivance elpensaĵog
contrition pento—ecog
contrite pentag
contribution depagog
contravention malobeog
contrast kontrastog
contrast kontrastig
contrary kontraŭag
contrariwise kontraŭeg
contradict kontraŭdirig
contractor entreprenistog
contract kuntiriĝig
contract kontraktog
contraband kontrabandog
contour konturog
contiguous apudag
contiguity apudecog
continence sindetenemog
contest disputog
contest disputig
contents enhavog
contentment kontentecog
contentious malpaculag
contention kontraŭstarog
contentedness kontentecog
content kontentigig
contend batalig
contemptible malestimag
contempt malestimog
contemporary samtempag
contemplate rigardadig
contemn malestimig
contaminate malpurigig
contain enhavig
contagious komunikeblag
contact kontaktog
consumption konsumiĝog
consummation plenigog
consummate plenigig
consumer konsumantog
consume konsumig
consultation konsiliĝog
consulate konsulejog
consul konsulog
construct konstruig
constraint devigog
constitutional konstituciag
constitution konstituciog
constipation mallaksog
consternation konsternog
constellation stelarog
constant konstantag
conspire konspirig
conspiracy konspirog
conspicuous videgeblag
consort kunulog
consonant unuformag
consolidate fortigig
consolation konsolog
console konsolig
consistory konsistoriog
consistent unuformag
consignment sendog
consign sendig
consideration konsiderog
considerable grandegag
consider pripensi
conservative konservativulog
consequential malmodestag
consequently sekveg
consequence sekvog
consent konsentig
consecutive intersekvag
consecrate dediĉig
conscientious konsciencag
conscience konsciencog
consanguineous samsangag
conquest venkog
conqueror venkantog
conquer venkig
connoisseur virtuozog
connections parencarog
connection kunigog
connect kunigig
conjurer ĵonglistog
conjure ĵonglig
conjure petegig
conjunction konjunkciog
conjugate konjugaciig
conjointly kuneg
conjoin kunig
conjecture konjektig
conical konusag
congress kongresog
congregation aŭdantarog
congregate kolektig
congratulation gratulog
congratulate gratulig
congestion sangalfluog
congeal firmigig
confute rifutig
confusion konfuzo—adog
confuse konfuzig
confront kontraŭstarigig
confrère kunfratog
confound konfuzegig
conformity konformecog
conformable konformag
conform konformig
confluence kunfluiĝog
conflict konfliktog
conflagration bruladog
confiscate konfisikig
confirmation certigog
confirm certigig
confine enfermig
confident konfidemag
confidence konfidenciog
confide konfidig
confession konfesog
confess konfesig
conference konferencog
confederation konfederaciog
confederate konfederig
confectioner konfitistog
cone konusog
conduit tubog
conductor kondukistog
conduct kondukig
condolence kondolencog
condole simpatii
conditionally kondiĉeg
condition kondiĉog
condescend bonvolig
condensed mallonga
condense densigig
condemnation kondamnog
condemn kondamnig
concussion skuegog
concur konsentig
concubine kromvirinog
concrete konkretag
concourse konkursog
concordat kontraktog
concordant unuvoĉag
concord konsentog
concise mallongag
conciliating pacemag
conciliate pacigig
concession cedo
concert koncertog
concerning prig
concern koncernig
concentric koncentrag
concentrate koncentrigig
conceive gravediĝig
conceited malmodestag
conceit malmodestecog
concede cedig
consecutive intersekvag
conceal kaŝig
concave kavetag
comrade kamaradog
compute kalkulig
computation kalkulog
compunction memriproĉog
compulsion devigog
compromise kompromisog
compromise kompromitig
comprise enhavig
compressible kunpremeblag
compress kunpremig
comprehension komprenecog
comprehensible kompreneblag
comprehend komprenig
compound kunmetig
composer verkistog
compose verkig
comply cedig
compliment komplimentig
complicity kunkulpecog
complication malsimplecog
complicate malsimpligig
compliant ceda—emag
complexion vizaĝkolorog
complex malsimplag
completely pleneg
complete plenigig
complement plennombrog
complaisance komplezog
complaint plendog
complainant plendantog
complacency komplezo
compile redaktig
competitor konkurantog
competition konkursog
competent kompetentag
compete konkurig
compensate kompensig
compend resumog
compend resumog
compel devigig
compatriot samlandanog
compassion kompatog
compass kompasog
compartment fakog
compare komparig
comparative komparag
company kompaniog
companion kunulog
compact densag
compact kontraktog
community komunumarog
communist komunistog
communism komunismog
communicative komunikemag
communicate komunikig
communicant komuniiĝantog
commune komunumog
commune mempensig
commotion konfuzog
commonwealth respublikog
commonly ordinareg
commoner malnobelo
common komunag
commodity komercaĵog
committee komitatog
commit farig
commissioner komisariog
commission komisiog
commission komisiig
commerce komercog
commentary komentariog
comment komentariig
commendation laŭdog
commend laŭdig
commence komencig
commemorate memorigig
commandment ordonog
commander komandorog
commandant komandantog
command ordonig
comma komog
coming venog
comic komika
comfort komfortog
comfort komfortig
comet kometog
comely gracia
comedy komediog
comedian komediantog
come venig
combustion bruladog
combustible bruleblag
combine kombinig
combatant batalantog
combat batalig
combat batalog
comb kombilog
comb kombig
column kolonog
colt ĉevalidog
colorless senkolorag
color kolorig
color kolorog
colossal kolosag
colony koloniog
colonnade kolonarog
colonize koloniigig
colonist koloniistog
colonial kolonianog
colonel kolonelog
colon dupunktog
collision interfrapog
colliery karbejog
collier karbfosistog
college kolegiog
collective opag
collection kolektog
collect kolektig
colleague kolegog
collation manĝetog
collar kolumog
collaboration kunlaboradog
collaborate kunlaborig
colic kolikog
coldness malvarmecog
cold malvarmog
colander kribrilog
coke koaksog
coincident samtempag
coincide koincidig
coin monerog
coil rulaĵo
coherence kunligog
cognomen alnomog
cogent videblag
coffin ĉerkog
coffer kestog
coffee-house kafejog
coffee kafog
coercion devigog
coerce devigig
coddle dorlotig
codicil kodicilog
code leĝarog
cod gadog
cocoa-nut kokosog
cocoa kakaog
cockerel kokidog
cobweb araneaĵog
cobalt kobaltog
coax logig
coat vestog
coast marbordog
coalition kuniĝog
coalesce kuniĝig
coal karbog
coachman veturigistog
coach-maker veturilfaristog
coach veturilog
clyster-pipe tubetog
clyster klisterog
clutch kapti
clumsy mallertag
clue postsignog
cloy satigig
clown ŝercemulog
clover trifoliog
clove kariofilog
cloud nubog
clothes vestaĵog
clothe vestig
close fermig
clod bulo—aĵog
clock-maker horloĝistog
clock horloĝog
cloak-room pakaĵejog
cloak mantelog
clipper tondistog
clink tintig
clinical klinikag
climb suprenrampig
climate klimatog
cliff krutaĵog
client klientog
cleverness lertecog
clever lertag
clergyman pastrog
clergy pastrarog
clement malseverag
clemency malseverecog
cleft fendog
cleaver fendilog
clearness klarecog
clear klarag
cleanse purigig
cleanliness purecog
clean purag
clean purigig
clay argilog
claw ungegog
clatter bruegadog
classify ordigig
class ordigig
class klasog
clasp prenig
clasp prenog
clarionet klarnetog
clarify klarigig
clap manfrapig
clank resonig
clandestine sekretag
clan gentog
clamour bruegog
clammy gluag
clamber suprenrampig
claimant pretendantog
claim pretendog
civilize civilizig
civilization civilizaciog
civility ĝentilecog
civilian nemilitag
civil civilag
civic urbag
city urbog
citron citronog
citizen urbanog
cite citig
citation citaĵog
citadel fortikaĵog
cistern akvujog
circus cirkog
circumstance cirkonstancog
circumspect singardemag
circumscribe ĉirkaŭskribig
circumlocution ĉirkaŭfrazog
circumference ĉirkaŭog
circulate ĉirkaŭirig
circular cirkulerog
circuit ĉirkaŭog
circlet rondetog
circle rondog
cipher nulog
cipher ciferog
cinnamon cinamog
cinnabar cinabrog
cinder cindrog
cigarette cigaredog
cigar-holder cigaringog
cigar cigarog
cider pomvinog
churn buterfarig
churn buterilog
church-yard preĝejkortog
church preĝejog
chrysanthemum krizantemog
chronology kronologiog
chronicle kronikog
christmas-box kristnaskdonog
christmas kristnaskog
christianity kristanismog
christian-name baptonomog
christian kristanog
christendom kristanarog
christen baptig
christ kristog
chorus ĥorarog
chorister ĥoristog
choral ĥorag
chopper hakilog
chop hakig
choose elektig
choleric kolerag
cholera ĥolerog
choler kolerog
choke sufokig
choir ĥorog
choice elektog
chocolate ĉokoladog
chivalry kavalirecog
chivalrous kavalirag
chisel ĉizilog
chisel ĉizig
chirp pepig
chink tintig
china porcelanog
china Ĥinujo
chin mentonog
chimney-sweep kamentubistog
chimney kamentubog
chimera ĥimerog
chime sonoriladog
chill malvarmog
chill malvarmigig
childishness infanaĵog
childish infanag
childhood infanecog
child infanog
chilblain frostabscesog
chignon harligaĵog
chiffonier ĉifonujog
chief ĉefag
chief ĉefog
chide riproĉig
chicory cikoriog
chicken-house kokejog
chicken kokidog
chicane ĉikanig
chew maĉig
chevalier kavalirog
chest brustog
chess-pieces ŝakojg
cherub kerubog
cherry ĉerizog
cheque ĉekog
chemistry ĥemiog
chemist-shop apotekog
chemist apotekistog
chemise ĉemizog
cheese fromaĝog
cheerfulness gajecog
cheerful gajag
cheer konsolig
cheer aplaŭdegig
cheekbone vangostog
cheek vangog
check kontraŭmarkig
cheat trompig
cheap malkarag
chatter babilig
chattels bienog
chat interparoletig
chasuble mesvestog
chastity ĉastecog
chastisement punog
chastise punig
chasten korektig
chaste ĉastag
chase ĉasog
chase ĉasig
charming ĉarmag
charm talismanog
charm ĉarmog
charm ĉarmig
charlatan ĉarlatanog
charity bonfaradog
charitable bonfaradag
chariot ĉarog
characterize karakterizig
character karakterog
char bruletig
chapter ĉapitrog
chaplain ekleziulog
chapel kapelog
chaotic ĥaosag
chaos ĥaosog
chant kantadog
channel kanalog
changeable ŝanĝeblag
change ŝanĝig
chandelier lustrog
chancellor kancelierog
chancel ĥorejog
chance hazardog
champion probatalantog
champagne ĉampanog
chamois-leather ŝamog
chamois ĉamog
chameleon kameleonog
chamberlain ĉambelanog
chambermaid ĉambristinog
chamber ĉambrog
chalky kretecag
chalk kretog
chalice kalikog
chaise veturiletog
chairman prezidantog
chair seĝog
chain ĉenog
chagrin ĉagrenog
chaffinch fringog
chaff pajlrestaĵog
cetaceous balenag
cession cedog
cessation ĉesadog
certitude certecog
certify atestig
certify certigig
certainty certecog
certainly certe
ceremony ceremoniog
ceremonious ceremoniag
century centjarog
centripetal alcentrokurag
centrifugal decentrokurag
centre-bit turnborilog
centre centrog
centralize alcentrigig
central meza
centimeter centimetrog
centime centimog
centigramme centigramog
centenarian centjarulog
cent cendog
censure cenzurig
censorious cenzurag
censor cenzuristog
censer bonodorfumilog
cemetery tombejog
cement cementog
cellular ĉelag
cellar kelog
celibacy fraŭlecog
celestial ĉielag
celery celeriog
celerity rapidecog
celebrated famag
ceiling plafonog
cede cedig
cedar cedrog
cease ĉesig
cavity kavo
cavil ĉikanig
caviare kaviarog
cave kavernog
cavalry kavaleriog
cavalier rajdantog
cavalcade rajdantarog
cautious singardemag
caution singardemog
caution avertig
cauterize kaŭterizig
cause igig
cause kaŭzig
cause kaŭzog
cauliflower florbrasikog
cauldron kaldronog
caudal vostag
cattle-pen bestejog
cattle bestarog
catholic katolikog
cathedral katedrog
caterpillar raŭpog
cater provizig
category kategoriog
catechist kateĥistog
catechism kateĥismog
catechise kateĥizig
catch kaptig
catarrh katarog
catalogue katalogog
catalepsy katalepsiog
catafalque katafalkog
cat katog
casuality okazecog
casually okazeg
casual okazag
castration kastrog
castrate kastrig
castle kastelog
cast-iron ferfandaĵog
casting fandaĵog
caster radetog
castellan kastelestrog
castaway forĵetulog
casket skatoletog
cask barelog
cashier kasistog
cash monog
casement kazematog
cascade kaskadog
cartwright veturilfaristog
cartridge-box kartoĉujog
cartridge kartoĉog
cartilage kartilagog
carter veturigistog
cart ŝarĝoveturilog
cart veturigig
carry portig
carrot karotog
carrion mortintaĵog
carriage veturilog
carpet tapiŝog
carpenter ĉarpentistog
carp karpog
carousal karuselog
caricature karikaturig
carnivorous viandomanĝantag
carnival karnavalog
carnage buĉadog
carmine karminog
carman veturigistog
cargo ŝarĝog
caress karesog
caress karesig
careless senzorgag
careful zorgag
care zorgog
cardinal kardinalog
cardboard kartonog
card kartog
carbuncle karbunkolog
carbon karbonog
caravan karavanog
carat karatog
carafe karafog
carabine karabenog
car ĉarog
capuche kapuĉog
capture prenog
captivity malliberecog
captive malliberag
captive malliberulog
capsize renversiĝig
caprice kapricog
capon kaponog
capitulation kapitulacog
capitulate kapitulacig
capitalist kapitalistog
cape promontorog
capacity enhaveblecog
capacious vastag
capable kapablag
capability kapablecog
cap ĉapog
canvass subpostulig
canvas kanvasog
canton kantonog
canto versarog
canticle himnog
canter galopetig
canteen drinkejog
cant hipokritog
canopy baldakenog
canon kanonog
cannonade pafilegado
cannon pafilegog
cannibal hommanĝulog
canker mordetig
canine hunag
cane vergig
cane kanog
candy kandog
candlestick kandelingog
candle kandelog
candidature kandidatecog
candidate aspirantog
candid naivag
candid simplanimag
candelabrum kandelabrog
canary kanariog
canal kanalog
camphor kamforog
campaign militirog
camp tendarog
camomile kamomilog
camisole kamizolog
camelia kameliog
camel kamelog
calumny kalumniog
calumniate kalumniig
calmness kvietecog
calm trankvilag
calm kvietag
calm kvietigig
callosity kalog
callous kalag
calling profesiog
call vokog
call vokig
calk kalfatrig
calico kalikotog
calibre kalibrog
calf bovidog
calendar kalendarog
caldron kaldronog
calculation kalkulog
calculate kalkulig
calcine pulvorigig
cake kukog
cajoler delogistog
cage kaĝog
cadet kadetog
cadence kadencog
cacophony malbonsonecog
cackle pepegig
cable ŝnuregog
cabinet-making meblofaradog
cabinet-maker meblistog
cabin kajuto
cabbage brasikog
cabal kabalog
cab fiakrog
buy aĉetig
button-hole butontruog
button butonog
button-hook butonumilog
butterfly papiliog
butter buterog
butler kelistog
butcher buĉistog
but sedg
busy okupag
bustle movo—adog
bust bustog
business-man aferistog
buskin duonbotog
bushel buŝelog
bush arbetaĵog
burrow kavigig
burnish polurig
burial enteriĝog
burglar domorabistog
burgess burgog
burdensome multepezag
burden ŝargig
burden ŝarĝog
buoyant naĝemag
buoy naĝbarelog
bungle fuŝig
bung ŝtopilog
bundle faskog
bun bulkog
bumper plenglasog
bump ĝibetog
bulwark remparog
bullfinch pirolog
bulletin noto
bullet kuglog
bull bovovirog
bulky multdikag
bulk dikecog
bulgarian bulgarog
bulb bulbog
build konstruig
bug cimog
buffoon ŝercemulog
buffet frapig
buffer ŝtopilog
buffalo bubalog
bud burĝonog
buckwheat poligonog
buckler ŝildog
buckle bukog
bucket sitelog
buccaneer marrabistog
brute brutog
brutal brutag
brush brosog
bruit bruegog
bruise kontuzig
brownish dubebrunag
brown brunag
brougham kaleŝog
brotherly fratag
brotherhood fratecog
brother fratog
broth buljonog
brook riveretog
brooch broĉog
bronchial bronkag
bronchitis bronkitog
bromine bromog
brokerage maklerog
broker makleristog
broil rostig
brochure broŝurog
broad larĝag
broach trapikig
brittle facilrompag
bristle haregog
briskness rapidecog
briny salag
brink randog
bring alkondukig
brine peklakvog
brimful plenpotag
brilliant brilag
brightness brilog
brighten briligig
brigandage rabadog
brigand rabistog
brigade brigadog
brief mallongag
bridle bridog
bridge pontog
bride novedzinog
brick brikog
bribe subaĉetig
brewery bierfarejog
brewer bierfaristog
brew bierfarig
brevity mallongecog
breeze ventetog
breeches pantalonog
breathing spiradog
breathe spirig
breath elspiraĵog
breast mamog
breast brustog
bream bramog
breakfast matenmanĝig
break rompig
breadth larĝecog
bread panog
breach breĉog
brazen bronzag
brawny muskolag
brawl malpacegog
bravery bravecog
brave bravulog
brave bravag
brasier fajrujog
brandy brandog
brandish svingig
bran branog
brain cerbog
braggart fanfaronulog
bray fanfaronig
brackish saletag
bracket tabletog
braces ŝelkog
bracelet ĉirkaŭmanog
brace parog
boy knabog
box pugnebatig
box kestog
bowl pelvog
bower laŭbog
bowels internaĵog
bow pafarkog
bow salutog
bow salutig
bourn limog
bouquet bukedog
bountiful malavarag
bounden devigag
boundary limog
bound saltog
bound saltig
bounce saltig
boulder ŝtonegog
bouillon buljonog
bough branĉog
bottom malsuprog
bottom fundog
bottle botelog
bother enuig
both ambaŭg
botany botanikog
bosom brustog
borne portitag
borax boraksog
booty akiraĵog
bootmaker botistog
bootless neprofitag
booth budog
boot botog
boorish maldelikatag
boon bonfaro
booming sonadog
boom sonig
bookseller libristog
book-keeper librotenistog
book librog
booby simplanimulog
bonus liberdonacog
bonny beletag
bonnet ĉapog
bone ostog
bondservant servutulog
bondman vasalog
bondage servutog
bonbon bombonog
bombard bombardig
bomb bombog
bolt riglilog
bolt riglig
bolster kapkusenog
boldness maltimog
bold maltimag
boisterous perfortag
boiler bolegilog
boil bolig
bohemian bohemog
bog marĉegog
body korpog
bobbin bobenog
boat-race ŝipkuradog
boat-hook hokstangog
boatman boatistog
boat boatog
boaster fanfaronulog
boast fanfaronog
boast fanfaronig
boarding-house loĝantejog
board loĝig
boar porkvirog
boa boaog
bluster fanfaronig
blush ruĝiĝig
blur malpurigig
blunt malakrag
blunder eraregog
bluish dubebluag
blue bluag
bludgeon bastonegog
blouse kitelog
blow blovig
blotch skabiog
blot makulog
blossom florig
bloom florig
bloodvessel sangvejnog
bloodshed sangverŝo—adog
blood sangog
blond blondag
blockhead malsaĝulog
blockade blokadog
bloat ŝvelig
blithe gajag
blister vezikog
bliss feliĉegecog
blind-alley senelirejog
blindness blindecog
blind blindag
blight velkigig
blessing beno—adog
bless benig
blend miksig
blemish makulog
bleat blekig
bleach blankigig
blaze flamegig
blast blovegog
blaspheme blasfemig
blanket lankovrilog
bland afablag
blanch paliĝig
blame mallaŭdig
blamable mallaŭdindag
bladder vezikog
blacksmith forĝistog
blackish dubenigrag
blacking cirog
blackguard sentaŭgulog
blacken nigrigig
blackbird merlog
black nigrag
blab babilig
bivouac bivakog
bitumen terpeĉog
bitters vermutog
bitter akra—emag
bite mordig
bismuth bismutog
bishop episkopog
bisect bisekciig
biscuit biskvitog
birthday naskotagog
birth naskiĝog
bird birdog
biped dupiedulog
biology biologiog
biography biografiog
bind-weed lianog
bind ligig
bin grenkestog
billow ondegog
billiards bilardog
billiard-ball globog
billhook branĉhakiletog
bill-poster afiŝistog
bilious galag
bile galog
bilberry mirtelog
bigotry fanatikecog
bigot fanatikulog
bigamy bigamiog
big grandag
bifurcation disduiĝog
bide atendig
bidding invitog
bicycle biciklog
bicker disputig
biblical bibliag
bible bibliog
biassed partiag
beyond preterg
bewitchment ensorĉog
bewitch ensorĉig
bewilder konfuzig
bewail ploregig
beverage trinkaĵog
between interg
betrothing fianĉiĝog
betroth fianĉigig
betray perfidig
betimes frueg
bet vetog
bet vetig
bestow donacig
bestial bestag
besot bestiĝig
besiege sieĝig
besides kromg
beside apudg
beset ĉirkaŭig
beseech petegig
berry berog
bequest heredaĵog
bequeath testamentig
benumb rigidigig
bent kurbag
benevolence bonfarog
benefit profitog
beneficial profitag
benefactor bonfaristog
benediction benog
beneath subg
bend fleksig
belt zonog
belong apartenig
belly ventrog
bellows blovilog
bellow blekegig
belle belulinog
belladonna beladonog
bell sonorilog
believe kredig
belief kredog
belie kalumniig
belgium belgujog
belgian belgog
belfry sonorilejog
belch ruktig
belabour bategig
being estaĵog
behoof profitog
beholder rigardantog
behold rigardig
behead senkapigig
behaviour kondutog
behave kondutig
behalf partog
beguile amuzig
begin ek
beggary almozpetog
beggar almozulog
beforehand antaŭeg
befitting decag
befall okazig
beetle skarabog
beer bierog
beef bovaĵog
beech-tree fagog
beehive abelujog
bee abelog
bedstead kuŝejog
bedroom dormoĉambrog
bedding litaĵog
bed litog
becoming konvena
become iĝi
beckon signodonig
bearer kastorog
beauty belecog
beautiful belag
beau koketulog
beatitude feliĉegecog
beat batig
beastly brutag
bearer alportantog
beardless senbarbag
beard barbog
bearable tolereblag
bean fabog
beak bekog
beadle pedelog
bead globetog
beacon lumturog
beach marbordog
be estig
bazaar bazarog
bayonet bajonetog
bawl kriegig
bauble bagatelog
battledore pilkraketog
battle batalog
battalion batalionog
bath banilog
bastion bastionog
baste surverŝig
bastard bastardog
basket korbog
basis fundamentog
basin pelvog
bashful modestag
baseness perfidecog
